
1000 0 9
1500 0 15
2000 0 20
2500 0 35
3000 0 48
3500 1 68
4000 0 83
4500 2 110
5000 2 135
5500 3 160
6000 1 193
6500 2 217
7000 1 261
7500 3 297
8000 1 340
8500 2 384
9000 2 434
9500 6 480
10000 6 530
10500 4 570
11000 7 640
11500 6 680
12000 4 742
12500 8 823
13000 8 921
13500 4 972
14000 3 1090
14500 3 1147
15000 4 1278
15500 5 1384
16000 10 1478
16500 6 1547
17000 12 1645
17500 8 1817
18000 9 1939
18500 12 1988
19000 12 2187
19500 7 2335
20000 9 2472
